"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2","2","100nf","","","","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","~"
"J1,J2,J3,J4","4","Screw_Terminal_01x09","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-9_1x09_P5.00mm_Horizontal","~"
"J5","1","HALL1_Terminal_01x03","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal","~"
"J6","1","HALL2_Terminal_01x03","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal","~"
"J7","1","SHT_Terminal_01x04","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-4_1x04_P5.00mm_Horizontal","~"
"J8","1","DHT_Terminal_01x03","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal","~"
"J9","1","Conn_01x06_Socket","","","","headerPin_1mm:PinSocket_1x06_P1.00mm_Vertical","~"
"J10","1","Conn_01x06_Socket","","","","headerPin_1mm:PinSocket_1x06_P1.00mm_Vertical_v2","~"
"R1,R2,R3,R4,R5","5","10K ohms","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"U1","1","WIFI_KIT_32__V3_","","","","WIFI_KIT_32__V3_:MODULE_WIFI_KIT_32__V3_",""
